VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
-CM5y50t9yg	-CM5y50t9yg-8-rgb_front	-CM5y50t9yg_7	-CM5y50t9yg_7-8-rgb_front	29.58	40.51	positive The best oatmeal, bananas, any kind of hot cereal, things that are going to stay in and give you the energy you need for the long race.
-CM5y50t9yg	-CM5y50t9yg-8-rgb_front	-CM5y50t9yg_9	-CM5y50t9yg_9-8-rgb_front	44.21	47.06	negative Don't go into your race dehydrated.
-CmdMw3PKV8	-CmdMw3PKV8-8-rgb_front	-CmdMw3PKV8_1	-CmdMw3PKV8_1-8-rgb_front	6.39	18.43	neutral Now the downside, I think, to looking for vintage footwear is in my case, maybe not in all cases, is they tend to be a lot of small sizes, kind of narrow, and a lot of them are hard to find in really good condition.
-CmdMw3PKV8	-CmdMw3PKV8-8-rgb_front	-CmdMw3PKV8_10	-CmdMw3PKV8_10-8-rgb_front	58.08	58.28	positive Just amazing.
-DV52J2dGWQ	-DV52J2dGWQ-8-rgb_front	-DV52J2dGWQ_2	-DV52J2dGWQ_2-8-rgb_front	7.49	11.43	positive Number one it can help you to create the style that you would like and the style that you are looking to achieve.
-EAXGeHv9U4	-EAXGeHv9U4-8-rgb_front	-EAXGeHv9U4_15	-EAXGeHv9U4_15-8-rgb_front	127.09	132.95	positive There you have it, a very adorable pumpkin placemat that's going to last for years.
-EsVrbRTMU4	-EsVrbRTMU4-8-rgb_front	-EsVrbRTMU4_2	-EsVrbRTMU4_2-8-rgb_front	6.83	9.56	positive This, right here, is your standard outfielder's glove.
-_6Fmz29bhU	-_6Fmz29bhU-1-rgb_front	-_6Fmz29bhU_24	-_6Fmz29bhU_24-1-rgb_front	113.67	124.83	negative The 8 ball will fall down, cue ball hits the 8 ball, everyone laughs, buys you drinks, and the mayor will hand you the key to the city.
-_6Fmz29bhU	-_6Fmz29bhU-1-rgb_front	-_6Fmz29bhU_3	-_6Fmz29bhU_3-1-rgb_front	7.57	9.71	positive This is probably the most impressive one that I've got.
-a1HIguW14M	-a1HIguW14M-8-rgb_front	-a1HIguW14M_7	-a1HIguW14M_7-8-rgb_front	83.29	90.91	neutral Okay now I think oh always have to keep these going back to its position.
-aEP1MfoUSU	-aEP1MfoUSU-8-rgb_front	-aEP1MfoUSU_7	-aEP1MfoUSU_7-8-rgb_front	41.74	54.72	neutral So okay I run for this long this many hours, this many minutes, you go ahead and time your self put on a wrist watch or get someone to hold a stopwatch for you, but go ahead maybe put on some type of distance, and say I'm going to run this far and run that distance and know how well you do.
-b4_y6LOSx0	-b4_y6LOSx0-8-rgb_front	-b4_y6LOSx0_3	-b4_y6LOSx0_3-8-rgb_front	18.02	25.14	positive Everybody knows teachers love this and also the opportunity to be your own boss.
-b4_y6LOSx0	-b4_y6LOSx0-8-rgb_front	-b4_y6LOSx0_4	-b4_y6LOSx0_4-8-rgb_front	25.14	29.38	positive In your classroom you rule and that is a great plus.
-bLfarX5JXU	-bLfarX5JXU-5-rgb_front	-bLfarX5JXU_13	-bLfarX5JXU_13-5-rgb_front	123.77	129.39	positive Also, this goes up every time you have a swamp so this has unlimited potential.
-bLfarX5JXU	-bLfarX5JXU-5-rgb_front	-bLfarX5JXU_14	-bLfarX5JXU_14-5-rgb_front	129.72	131.4	positive It's a very powerful card.
-dSv5URTW8M	-dSv5URTW8M-5-rgb_front	-dSv5URTW8M_3	-dSv5URTW8M_3-5-rgb_front	28.3	31.89	positive Believe it or not, these things are incredibly durable.
-dyT7rtkAMk	-dyT7rtkAMk-5-rgb_front	-dyT7rtkAMk_0	-dyT7rtkAMk_0-5-rgb_front	0.75	6.53	neutral SAL COLLURA: Okay, now that we've gone through the days of the week, I'd like to get specific for certain events.
-dyT7rtkAMk	-dyT7rtkAMk-5-rgb_front	-dyT7rtkAMk_10	-dyT7rtkAMk_10-5-rgb_front	55.76	61.67	neutral Okay, so hit the hill as hard as you possibly can in the biggest gear you can.
-eJI_YOtHNE	-eJI_YOtHNE-5-rgb_front	-eJI_YOtHNE_19	-eJI_YOtHNE_19-5-rgb_front	100.21	100.86	neutral That's okay.
-eSwgmd4XaQ	-eSwgmd4XaQ-5-rgb_front	-eSwgmd4XaQ_9	-eSwgmd4XaQ_9-5-rgb_front	69.1	81.07	neutral So, if you start to slide out that just means you need to lean a little more far forward to hold your tailslide a little steadier and a little bit longer.
-eVbw_nRsLI	-eVbw_nRsLI-5-rgb_front	-eVbw_nRsLI_0	-eVbw_nRsLI_0-5-rgb_front	0.69	5.28	neutral Ok, so here once again, we're in the fairway bunker.
-eVbw_nRsLI	-eVbw_nRsLI-5-rgb_front	-eVbw_nRsLI_7	-eVbw_nRsLI_7-5-rgb_front	61.22	68.35	neutral So that ball was pretty straight, not quite as far as I'd like.
-eXHI3iqu7g	-eXHI3iqu7g-5-rgb_front	-eXHI3iqu7g_2	-eXHI3iqu7g_2-5-rgb_front	16.32	21.05	negative Don't ever pour your fix down the drain.
-eaisNdrTS4	-eaisNdrTS4-5-rgb_front	-eaisNdrTS4_14	-eaisNdrTS4_14-5-rgb_front	57.59	68.58	positive Ready and turn, step, together, step, hip, step, hip, step and hip.
-eryXkkckv8	-eryXkkckv8-5-rgb_front	-eryXkkckv8_0	-eryXkkckv8_0-5-rgb_front	0.22	6.7	positive KIRK VICKERS: In the fitness world and the rehab world, these physioballs have become real popular.
-f0h1J3POAg	-f0h1J3POAg-5-rgb_front	-f0h1J3POAg_0	-f0h1J3POAg_0-5-rgb_front	0.42	5.63	positive And welcome, to the beautiful studios of Valley Free Radio, located in a basement.
-f0h1J3POAg	-f0h1J3POAg-5-rgb_front	-f0h1J3POAg_10	-f0h1J3POAg_10-5-rgb_front	75.3	77.82	positive All here, at beautiful, Valley Free Radio.
-fNgnONv_3I	-fNgnONv_3I-5-rgb_front	-fNgnONv_3I_2	-fNgnONv_3I_2-5-rgb_front	7.39	12.6	positive Every field, every air ball field, every arena field, has a snake bunker.
-fPRgGA3QYY	-fPRgGA3QYY-5-rgb_front	-fPRgGA3QYY_1	-fPRgGA3QYY_1-5-rgb_front	12.28	15.89	positive This is my 6-inch chef's knife.
-fPRgGA3QYY	-fPRgGA3QYY-5-rgb_front	-fPRgGA3QYY_5	-fPRgGA3QYY_5-5-rgb_front	40.15	40.43	neutral Okay.
-fyFTnt9w9Q	-fyFTnt9w9Q-5-rgb_front	-fyFTnt9w9Q_0	-fyFTnt9w9Q_0-5-rgb_front	0.11	25.62	neutral Okay if you, as you've watched these segments, you'll see that tennis is a very athletic game and I want you to think about if I'm hitting a forehand like this, well one of the great poses in martial arts or in yoga is a pose like this.
0-bR2rq-qps	0-bR2rq-qps-5-rgb_front	0-bR2rq-qps_1	0-bR2rq-qps_1-5-rgb_front	5.59	7.39	positive This is something that is so easy.
0-bR2rq-qps	0-bR2rq-qps-5-rgb_front	0-bR2rq-qps_2	0-bR2rq-qps_2-5-rgb_front	7.44	14.2	positive After you've washed your face or you come out of the shower, I love this because it's so refreshing.
0-bR2rq-qps	0-bR2rq-qps-5-rgb_front	0-bR2rq-qps_24	0-bR2rq-qps_24-5-rgb_front	162.19	167.14	positive I always buy a pack of like a hundred or so and it looks like this.
0-bR2rq-qps	0-bR2rq-qps-5-rgb_front	0-bR2rq-qps_9	0-bR2rq-qps_9-5-rgb_front	47.96	54.46	positive This is also a great way to take off your makeup and I'm going to show you that in a second.
0-vrO9sZ5ow	0-vrO9sZ5ow-5-rgb_front	0-vrO9sZ5ow_12	0-vrO9sZ5ow_12-5-rgb_front	121.02	126.14	positive And that is a great way to stretch out your abs and your back on the stability ball.
0-vrO9sZ5ow	0-vrO9sZ5ow-5-rgb_front	0-vrO9sZ5ow_4	0-vrO9sZ5ow_4-5-rgb_front	24.59	28.34	positive And anybody of any age can do this.
006DXpJ9erw	006DXpJ9erw-5-rgb_front	006DXpJ9erw_1	006DXpJ9erw_1-5-rgb_front	15.91	26.05	positive Now headshots are the most important thing that you can add to your resume in the industry.
00Cal635Wno	00Cal635Wno-5-rgb_front	00Cal635Wno_6	00Cal635Wno_6-5-rgb_front	12.05	16.36	positive What I'm going to do here--this is a new float head.
00Fc7cZX1gM	00Fc7cZX1gM-5-rgb_front	00Fc7cZX1gM_8	00Fc7cZX1gM_8-5-rgb_front	39.78	43.93	negative She has respiratory infection and she was just in horrible condition.
00xgNW3M4-4	00xgNW3M4-4-3-rgb_front	00xgNW3M4-4_30	00xgNW3M4-4_30-3-rgb_front	158.12	161.35	positive Either way they're so easy to grow and such a rewarding plant.
01m9yM04RwY	01m9yM04RwY-3-rgb_front	01m9yM04RwY_0	01m9yM04RwY_0-3-rgb_front	0.17	4.86	neutral Okay, the drink we're about to make is called Emerald Isle Cocktail.
01okYWMvD-0	01okYWMvD-0-3-rgb_front	01okYWMvD-0_3	01okYWMvD-0_3-3-rgb_front	19.99	29.42	positive And one of the best back wrinkle remover is the anti-aging cream and it's from Energy, it's on of the best.
01okYWMvD-0	01okYWMvD-0-3-rgb_front	01okYWMvD-0_5	01okYWMvD-0_5-3-rgb_front	46.13	59.92	positive And that's the way you could remove the back wrinkles, Energy, Aloe-Vera, vitamin E is one of the best in the market today we could trust.
025gAKRCIKY	025gAKRCIKY-3-rgb_front	025gAKRCIKY_12	025gAKRCIKY_12-3-rgb_front	75.2	76.37	positive Thank you so much.
02WRxAwx-Bo	02WRxAwx-Bo-8-rgb_front	02WRxAwx-Bo_1	02WRxAwx-Bo_1-8-rgb_front	2.44	16.24	positive Now, I'm going to show you how to make one of my favorite holiday punches.
02WRxAwx-Bo	02WRxAwx-Bo-8-rgb_front	02WRxAwx-Bo_2	02WRxAwx-Bo_2-8-rgb_front	16.3	21.06	positive This is called the non-alcoholic Spiced Punch and it's very quick and easy to make.
03SgrpiJkSw	03SgrpiJkSw-8-rgb_front	03SgrpiJkSw_9	03SgrpiJkSw_9-8-rgb_front	30.79	39.36	positive This is 350 Diopter Scope, so the magnifying glass is really gonna help us get into every single pore.
03WUE9zzQY4	03WUE9zzQY4-8-rgb_front	03WUE9zzQY4_10	03WUE9zzQY4_10-8-rgb_front	29.55	30.99	positive This is one of mine from awhile back.
03WUE9zzQY4	03WUE9zzQY4-8-rgb_front	03WUE9zzQY4_11	03WUE9zzQY4_11-8-rgb_front	31.93	33.46	positive This is my design.
03jABW2MKkk	03jABW2MKkk-8-rgb_front	03jABW2MKkk_1	03jABW2MKkk_1-8-rgb_front	8.32	17.98	neutral Okay, to draw clasped hands, of course there are many angles you can do this from, we're going to do it from pretty much the forward angle like this, so, what you have is, I'm going to draw the back of the hands.
03jABW2MKkk	03jABW2MKkk-8-rgb_front	03jABW2MKkk_15	03jABW2MKkk_15-8-rgb_front	115.95	120.08	positive Remember to look for photo sources as your best bet.
03jABW2MKkk	03jABW2MKkk-8-rgb_front	03jABW2MKkk_7	03jABW2MKkk_7-8-rgb_front	61.86	62.97	positive It's your top finger in there.
03lzv6OzJhE	03lzv6OzJhE-8-rgb_front	03lzv6OzJhE_13	03lzv6OzJhE_13-8-rgb_front	107.42	110.01	neutral Okay we are goign to put these into the basket here.
03lzv6OzJhE	03lzv6OzJhE-8-rgb_front	03lzv6OzJhE_16	03lzv6OzJhE_16-8-rgb_front	133.32	146.22	neutral Okay I think these are ready now they have been in here for 4 1/2 minutes we had the temperature up about 375 and it depends on your taste if you like them a little bit darker then you could leave them a little longer but really watch them.
03lzv6OzJhE	03lzv6OzJhE-8-rgb_front	03lzv6OzJhE_7	03lzv6OzJhE_7-8-rgb_front	46.37	55.34	neutral Okay so we are just going to throw some in here and I'm going to do this by hand instead of trying to use the utensils my kitchen, my food, my fingers.
04VKILduLSM	04VKILduLSM-8-rgb_front	04VKILduLSM_15	04VKILduLSM_15-8-rgb_front	77.27	82.59	positive My name is Dean Hale and I've just given you the best advice you can get about winning at craps.
04hnjLKHh2g	04hnjLKHh2g-5-rgb_front	04hnjLKHh2g_16	04hnjLKHh2g_16-5-rgb_front	162.97	165.85	neutral Okay, let me show you that again nice and close up.
06St8W_JHok	06St8W_JHok-5-rgb_front	06St8W_JHok_3	06St8W_JHok_3-5-rgb_front	16.36	24.16	positive First and foremost, if you can paint outdoors, you have a great beach nearby, get out of your house!
06Yvm4X81WI	06Yvm4X81WI-5-rgb_front	06Yvm4X81WI_5	06Yvm4X81WI_5-5-rgb_front	37.07	39.61	positive Now, these chisels are great to have.
06bQ_DxQGJU	06bQ_DxQGJU-5-rgb_front	06bQ_DxQGJU_0	06bQ_DxQGJU_0-5-rgb_front	0.79	15.87	neutral Okay, in this segment I am going to serve to Ken, he is going to return his forehead up the line, he is going to return them down the middle and he is going to return them cross court.
06bQ_DxQGJU	06bQ_DxQGJU-5-rgb_front	06bQ_DxQGJU_5	06bQ_DxQGJU_5-5-rgb_front	70.82	78.91	neutral Okay, that one went up the middle because he did not turn enough on the ball.
06bQ_DxQGJU	06bQ_DxQGJU-5-rgb_front	06bQ_DxQGJU_7	06bQ_DxQGJU_7-5-rgb_front	89.0	94.12	neutral Okay that one is right up the middle, right up the middle, good shot.
06jk1stVwMI	06jk1stVwMI-5-rgb_front	06jk1stVwMI_17	06jk1stVwMI_17-5-rgb_front	57.03	57.48	positive Perfect.
06jk1stVwMI	06jk1stVwMI-5-rgb_front	06jk1stVwMI_24	06jk1stVwMI_24-5-rgb_front	127.13	127.99	positive Perfect.
06jk1stVwMI	06jk1stVwMI-5-rgb_front	06jk1stVwMI_26	06jk1stVwMI_26-5-rgb_front	137.98	138.94	positive Beautiful.
06jk1stVwMI	06jk1stVwMI-5-rgb_front	06jk1stVwMI_9	06jk1stVwMI_9-5-rgb_front	30.82	33.36	positive Now you don't want to take it to the full limit, perfect.
075s9DECj2k	075s9DECj2k-5-rgb_front	075s9DECj2k_2	075s9DECj2k_2-5-rgb_front	32.38	49.57	positive So keeping in mind all of those drills that I have shown you watch my backhand spring on this floor and see how everything I have done up to this moment leads me up to right here.
077IIb5uuCs	077IIb5uuCs-5-rgb_front	077IIb5uuCs_3	077IIb5uuCs_3-5-rgb_front	12.93	27.45	neutral Okay, it's just like juggling three balls except you have to be careful because if you throw them so that they will go away from your body or towards your body, there's a much greater chance of you hitting yourself in the face.
077IIb5uuCs	077IIb5uuCs-5-rgb_front	077IIb5uuCs_7	077IIb5uuCs_7-5-rgb_front	36.73	49.43	neutral So, you got to be careful when you first start okay and it's like most things not as hard as it looks to you when you first start.
077IIb5uuCs	077IIb5uuCs-5-rgb_front	077IIb5uuCs_8	077IIb5uuCs_8-5-rgb_front	51.05	54.26	neutral It's way slower than you think but this is how it looks okay.
077rQK39ycg	077rQK39ycg-5-rgb_front	077rQK39ycg_21	077rQK39ycg_21-5-rgb_front	141.86	142.23	neutral Okay.
07EGkSiMsL0	07EGkSiMsL0-5-rgb_front	07EGkSiMsL0_11	07EGkSiMsL0_11-5-rgb_front	55.91	58.13	positive It's treated perfect.
07U8pEf63Pw	07U8pEf63Pw-5-rgb_front	07U8pEf63Pw_5	07U8pEf63Pw_5-5-rgb_front	17.66	19.12	positive This is great move.
07ViW5BdEsw	07ViW5BdEsw-1-rgb_front	07ViW5BdEsw_8	07ViW5BdEsw_8-1-rgb_front	53.88	57.5	positive You just don't need a ton, a tremendous amount of product.
07mFG9turoU	07mFG9turoU-5-rgb_front	07mFG9turoU_1_2_3_4	07mFG9turoU_1_2_3_4-5-rgb_front	12.2	20.38	neutral Ok. That's a lot of Ss in there. So let's get started. Mark's going to lay all the way down. Beautiful.
07n9gNTlVdI	07n9gNTlVdI-5-rgb_front	07n9gNTlVdI_2	07n9gNTlVdI_2-5-rgb_front	4.76	12.91	positive I'm going to take you through step by step to shape yourself a complete surfboard.
08JotxFsA4Y	08JotxFsA4Y-5-rgb_front	08JotxFsA4Y_3	08JotxFsA4Y_3-5-rgb_front	38.26	68.98	positive So, I'm going to pick out the color that I think is closest to her eyebrow and I'm going to use an angled brush like this, and this is my favorite brush for filling in the eyebrows, I use it on myself, I use it on all of my clients, this brush, you can get this brush pretty much at every makeup counter.
08hX7LrGPZQ	08hX7LrGPZQ-5-rgb_front	08hX7LrGPZQ_7	08hX7LrGPZQ_7-5-rgb_front	78.06	91.93	neutral So you can see it gives her some coverage but it doesn't necessarily give her a really full coverage.
08nsvHZLNfE	08nsvHZLNfE-5-rgb_front	08nsvHZLNfE_16	08nsvHZLNfE_16-5-rgb_front	150.96	161.73	positive That comes from educating yourself; being the best person that you can be and making sure that you radiate that self confidence.
08nsvHZLNfE	08nsvHZLNfE-5-rgb_front	08nsvHZLNfE_18	08nsvHZLNfE_18-5-rgb_front	170.69	184.15	positive Somebody who's going to love you, you can trust, communicate with you, respect you and be your friend for life.
097l3R1JCFQ	097l3R1JCFQ-5-rgb_front	097l3R1JCFQ_2	097l3R1JCFQ_2-5-rgb_front	14.48	18.82	neutral OKay, we've got out cabbage, we got our lime on the side here, we got that.
09KiqMdCSKc	09KiqMdCSKc-8-rgb_front	09KiqMdCSKc_12	09KiqMdCSKc_12-8-rgb_front	44.7	49.71	positive The next color I put on is going to go on so smooth and look beautiful.
09PTYSJ3dmA	09PTYSJ3dmA-8-rgb_front	09PTYSJ3dmA_8	09PTYSJ3dmA_8-8-rgb_front	70.49	75.0	neutral So, also, it's going to provide you a little flotation and, you know, it's just kind of comfortable.
0ACeI3_jN3k	0ACeI3_jN3k-8-rgb_front	0ACeI3_jN3k_10	0ACeI3_jN3k_10-8-rgb_front	46.31	49.11	positive Being comfortable with yourself is a huge tool.
0ACeI3_jN3k	0ACeI3_jN3k-8-rgb_front	0ACeI3_jN3k_12	0ACeI3_jN3k_12-8-rgb_front	52.24	53.54	positive So bring that with you on every job you have.
0AZFdfnzrog	0AZFdfnzrog-8-rgb_front	0AZFdfnzrog_2	0AZFdfnzrog_2-8-rgb_front	12.81	14.94	positive What you like is the most important thing.
0AZFdfnzrog	0AZFdfnzrog-8-rgb_front	0AZFdfnzrog_7	0AZFdfnzrog_7-8-rgb_front	51.71	61.92	positive Personal taste is absolutely up to you, completely subjective, and the most important guideline in picking out your jewelry.
